de,en
Was soll er denn fragen? Wegen letzter Nacht.,- what's he gonna ask?
Verdammt.,Damn.
Erfahrungsgemäß muss man allerdings viel struktureller vorgehen.,"However, experience, has taught us that this must be approached in a much more structured way."
Krafträder der Klasse A1 fallen unter den Führerschein der Klasse B.,category A1 motorcycles under a licence for category B.
"Posted: Fri Oct 24, 2014 1:03 pm","Posted: Mon Oct 13, 2014 9:35 am"
"Bei der Abfahrt Graz/Slowenien (Exit 63)auf die Bundesstraße B 99 (ab Radstadt die B 320), ca. 25 km bis Schladming. Ab Schladming den Hinweisschildern in die Ramsau folgen.",From Radstadt follow the B320 until Schladming for about 25 km. Once in Schladming follow the signs for Ramsau.
- Warum tun Sie das?,- Why are you doing this?
Sie weiß Bescheid.,She'll know it's you.
STONE:,STONE:
Auf einer Halbhöhenlage entstand auf einem weitläufigen und großzügigen Grundstück ein ebenso imposantes wie großzügiges Gebäude.,A building as impressive as spacious was constructed on an extensive and generous site half way up a hill.
"Vielleicht funktioniert so was nur einmal, wenn die Energie...","Maybe it only works the one time, when the energy--"
Und das bringt mein Konto auf Null.,And this'll get my account up to zero.
Die Unterposition 200710 hat Vorrang vor allen anderen Unterpositionen der Position 2007.,Subheading 200710 takes precedence over all other subheadings of heading 2007.
Hundepfeife ist bereit.,Shall I?
Tannengrün.,Wintergreen.
"Das Line-up komplettiert sich mit dem zweiten Gitarristen Emil Nikolaisen, der 1995 in die Band einstieg.",""" The style change necessitated another guitarist, a position Emil Nikolaisen of the band Royal filled in 1995."
-...und Trank!,And drink!
Bundles (2),Warehouse Deals (2)
Bitte spielen sie einfach nur das Band ab.,Please just play the tape.
"a) Im ersten Erwägungsgrund wird angegeben, dass es sich bei dem neuen Rechtsakt um eine Neufassung des bisherigen Rechtsakts handelt.",(a) The first recital shall indicate that the new legal act constitutes a recasting of the earlier act.
Scheiß Shampoo-Firma.,"- I don't understand why the shampoo company can't fix that, man."
Trifft sich gut.,Right on time!
"Ist dies nicht der Fall, öffnen Sie auf Ihrem Computer den „Arbeitsplatz“ und doppelklicken Sie auf die Datei „MISSOC 2007“.","If it does not appear automatically, go into “My Computer” on your desktop and double-click on the file “MISSOC 2007”."
Die Weste ist kurz gehalten und bildet so einen idealen Kontrast zu Oberteilen in modischer Überlänge oder zu schicken Blusen.,The leather vest is short and therefore it is an ideal contrast to the tops in modern over-length or to elegant blouses.
Mithin werde ich ihn im Namen der Fraktion der Liberalen und Demokratischen Partei Europas vertreten und ein paar Worte verlieren.,I shall therefore replace him on behalf of the Liberals and say a few words.
Hab ich doch gesagt. Einen Penis... in meinem Hintern!,"That is what I said, a penis... in my bottom."
Halbjahresbericht 2016 (deutsch/PDF/1.3MB),Semi Annual Report 2016 (english/PDF/1.3MB)
- Wo kommt die her?,Let's do it. Where did it come from?
Weitere Erklärungen in der speziellen Abteilung dieser Webseite. Es gibt auch eine Rubrik mit oft gestellten Fragen und Antworten.,We also have created a list with Frequent Questions and Answers.
"Ich kann nicht, Silvia.","I can't, Silvia."
"Sie ist leicht zu verlegen, abriebfest, dekorativ, belastbar, das Kunststoff-Material (PP-Kunststoff) ist UV-stabilisiert und witterungsbeständig, leicht aufnehmbar und pflegeleicht.","Easy to install, Durable Attractive, Withstands heavy loads For indoors and out, Easy to move Minimal maintenance."
Dieselbe Behandlung gilt für nicht marktgängige Wertpapiere.,The same treatment shall apply to non-marketable securities.
Richard?,Richard?
hatte er/sie/es gespult ?,had he/she/it taken hold of ?
Gib mir die Schriftrolle.,Give me the writing.
Ich habe vielleicht eine Bleibe gefunden.,And I may have a lead on a place to stay.
Er wollte mich mit einem Entenfuß vergewaltigen.,He was gonna violate me with a duck foot.
Das Erwärmen erfolgt auf eine Temperatur etwas oberhalb der Härtetemperatur mit einem anschließenden Abkühlen an ruhender Atmosphäre. Durch das Normalglühen soll die Einstellung eines feinkörnigen Ferrit-Perlit-Gefüges erreicht werden.,The component is usually heated to a temperature above the hardening temperature and is followed by cooling in a still atmosphere.
Was willst du wirklich?,What do you really want?
:: Ballons auf der Map Luftkampf .:. Bild Nr. 3 ::,:: Chemin de Dames .:. Bild Nr. 3 ::
"Während des Trainings arbeiten wir bevorzugt mit Texten aus dem Arbeitsalltag der Teilnehmer, wodurch wir Praxis und Training optimal kombinieren.","We give preference to the use of documents from the participants' day-to-day work for the training programme, since this offers an optimum combination of training and practice."
"Sie haben keinen Sassaparilla-Drink, oder?",I don't suppose you have any sarsaparilla?
Nichtsteueranteil,Non tax portion
"Wer etwas unternehmen möchte, hat in Eschwege alle Möglichkeiten, Sport zu treiben, die wunderbare Fachwerkkulisse zu genießen oder das Werratal mit dem Kanu zu erkunden.",You may also wish to explore the Werratal valley by canoe.
"Sei unbesorgt, hier wird nichts aufgenommen.","Don't worry, Harry. They don't record sound in here."
Auf Macau ist kein Platz für Außenseiter wie dich.,Macau has no room for outsiders like you.
"Er will dir zeigen, dass er dich fertigmachen kann.",He's out to show you he can crush you.
Du hast gekündigt.,You're off the force.
Meine Güte!,Jeez!
"Im vorliegenden Bericht wird auch deutlich, wie schnell sich doch neue Produkte auf dem Markt etablieren und den Gesetzgeber zum Handeln zwingen.",The present report also makes it clear how quickly new products can appear on the market and force the legislative authorities to act.
mi 20/07/16 - 7 Nächte -31% - 555.26€,fri 26/08/16 - 7 nights -15.5% - 413€
Sie haben einen Agenten angefasst.,You just touched a federal agent.
7003BB7A ????,7005AAF4 ????
thanks in advance.,thanks in advance.
GetColumnViewValueAs(),GetColumnViewValueAs()
"Metropol-Verlag, Berlin 2011, S. 333–349.","Berlin 2011, S. 333–349."
- Theoretisch ist es möglich.,- It is theoretically possible.
"Kabel unter dem Fahrzeugboden müssen in Rohren verlegt sein, die sie vor Wasser und Staub schützen.",Wiring located under the floor of the trolleybus shall be contained in conduit that protects it against the ingress and propagation of water and dust.
Sie konvertieren Geschwindigkeit von Mach (Schallgeschwindigkeit) nach Sekunde pro Meile.,You are currently converting speed units from mach (speed of sound) to second per 100 meters
zu vermieten:284 m²,to let: 284 m²
"Auch in der Küche, die intern als ""Marktplatz"" bezeichnet wird, ist die Unternehmenskultur erlebbar.","The company culture is also tangible in the kitchen, which is internally referred to as the “marketplace”."
"Tags: Boran-sur-Oise satellite view, Boran-sur-Oise street view.","Tags: Jebsheim satellite view, Jebsheim street view."
Einige weitere Merkmal aber weniger verbreitet regionale Dialekte gehören:,Some more characteristic but less widespread regional dialects include:
"Open Access: FWF Policy als Rollenmodell, Weihnachten ist vorbei und eine Rebellion wird ausgerufen","Open Access: FWF policy as role model, Christmas is over and a rebellion is proclaimed!"
"Zuerst wollte Goeppert Mathematikerin werden, wechselte dann aber nach drei Jahren in die Physik.","Instead, Goeppert became interested in physics, and chose to pursue a Ph.D."
"Wenn Spuren des Pflasters nach dem Entfernen auf der Haut zurückbleiben, können diese mit reichlich Seife und Wasser abgewaschen werden.","If traces of the transdermal patch remain on the skin after its removal, these can be cleaned off using copious amounts of soap and water."
"Die Straße wird nach 50 Metern links ab. Auf der rechten Seite ist das Tor, dass Bronzivalle sagt.",The road is after 50 meters left. On the right is the door that says Bronzivalle.
"Ich habe gewartet, bis Sie weggehen.",I waited for you to leave.
So ist es richtig.,That's right.
"Oh, das kann ich nicht behaupten.","Oh, I can't say that."
"Als Schmuggel sich verbreitete, lockerten die Briten die Beschränkungen wieder.","When smuggling became rife, the British eased the restrictions."
"Und beim Nachsitzen wird nicht gesprochen, Mr. Berger.","All right, I'm sorry for what I did."
Such dir lieber was zu essen!,Go and find your Egg-role!
"Sagen Sie uns einfach, wen Sie in Schutz nehmen, Inspector.","Just tell us who you're covering for, inspector."
Eine 50-Mäuse-Ticket.,50 buck ticket.
"OK, gehen Sie beiseite.","OK, keep it open."
12.11.2015 10:12 Alter: 1 Jahr(e),12.11.2015 11:36 Age: 1 Jahr(e)
Beschreibung der Begleitungs- und Bewertungssysteme sowie geplante Zusammensetzung des Begleitausschusses,"A description of the monitoring and evaluation systems, as well as the envisaged composition of the Monitoring Committee"
- Mama!,Mama. - What?
Einführung und Begrüßung,Introduction and welcoming address
"1Ki 9:6 Werdet ihr aber euch von mir abwenden, ihr und eure Kinder, und nicht halten meine Gebote und Rechte, die ich euch vorgelegt habe, und hingehen und andern Göttern dienen und sie anbeten:","6 ""But if you or your sons at all turn from following Me, and do not keep My commandments and My statutes which I have set before you, but go and serve other gods and worship them,"
"Das sieht nicht gut aus, Todd.","I'll be honest, it doesn't look great, Todd."
"Nur noch ein großer Parkplatz, Loos zeigen aber wo sehr viele Lastwagen sind. Dies ist ein maschinale Übersetzung. Klicken Sie hier um die Bewertung in originale Sprache anzuzeigen","Still only a big parking lot, loos point but where very many trucks are. This is a machine translation. Click here to show reviews in their original language."
"Er wusste, dass Cally auf einer Todesliste war.",- He knew Cally was on a death list.
Mom?,Mom?
"Oder Sie können das tun, was verlangt wird. Dann kommen Sie vielleicht durch.","Or you can do what you're told in which case, you may just get by."
Die gewonnenen Erkenntnisse bei den von Gottfried Decker Frankweiler durchgeführten Grabungen lassen eine Datierung in die Zeit der Salier zu.,The findings obtained in Gottfried Decker Frankweiler's excavations allow a dating to the time of the Salian dynasty.
"Da wir vergessen hatten, ihr die Schlüssel zu geben, war sie in dem kalten polnischen Nachmittag fast erfroren.","Since we forgot to leave her the keys, she nearly froze in the cold Polish afternoon."
Mehr Ã¼ber dieses B&B in Vlissingen,Mehr Ã¼ber dieses B&B in Amsterdam
Warum wischst du's nicht ab?,Why don't you wipe it off?
Linda!,Linda!
"Teile “ Forest Hills, Saint John, NewBrunswick, Kanada-Luft-Qualitätsindex ”","Share “ Forest Hills, Saint John, NewBrunswick, Canada Air Quality Index ”"
Und du hörst Mozart?,- And you listen to Mozart.
Bedingung: Aufgrund der Pharmakovigilanzdaten sowie der Daten der vorklinischen Unbedenklichkeit und der Qualität bestehen keine Bedenken hinsichtlich der Unbedenklichkeit einer weiteren Verwendung des Arzneimittels.,"Condition to be fulfilled: The continued safety in use of the medicinal product has not been the subject of concern from pharmacovigilance, pre-clinical safety or quality data."
- Sind Sie ein Verehrer von Jiu-Jitsu?,You are a devotee of jujitsu? Yes.
Jonah?,Jonah?
- Das passt zu Patricia Kopf.,It may be what Patricia talked about.
"Im Laufe der Zeit habe ich einige RSXen geschrieben, die das Verhalten des Betriebssystems untersuchen.",Over the years I wrote a lot of RSX utilities for analyzing request on the operating system.
"Kernelement des EWS ist der ECU, eine Verbund-Währung (Währungskorb).","The central figure of the EMS is the ecu, which is a com posite currency (basket of currencies)."
Verwendung leicht verfügbarer spezifischer oder generischer Daten für das Ressourcennutzungs und Emissionsprofil,Use readily available specific or generic data to populate the Resource Use and Emissions Profile
Finden Sie weitere Routen und Anstiege in der Nähe von Col de la Madeleine,Find more climbs and routes near Col de la Madeleine
- Sarah?,Sarah?
Collections editees par Pierre Bernard.,Collections editees par Pierre Bernard.
modestgoddess (1),modestgoddess (1)
Er war meine große Rettung.,-He was my salvation. -No.
"Die Angelegenheit kam vor einem Jahr in unseren Ausschuss, der Vorschlag wurde dem Parlament am 6. April 2005 unterbreitet, und Anfang Mai begann unser Ausschuss, sich damit zu befassen.","This came before our Committee a year ago, the proposal was put to Parliament on 6 April 2005, and from the start of May our Committee began to deliberate on it."
- Du verrätst mich nicht. Und warum nicht?,You're not going to tell on me!
"Autor kriegt eins drüber und stirbt in zehn Zentimeter tiefem Dreckwasser,",Writer gets conked and dies in four inches of dirty water.
"Ziel von dem Hafen von Hamburg ist potenziell, den Verkehr von den Containern über 14 Jahren zu verdreifachen",Potential goal of the port of Amburgo is to triple the traffic of the container over 14 years
Iss.,Eat.
Stimmt das?,Is that right?
"Es ist: 04.09.2015, 20:26 Hallo, Gast! (Anmelden — Registrieren)","Es ist: 04.09.2015, 15:06 Hallo, Gast! (Anmelden — Registrieren)"
Ich auch. Ich will wegfahren und neue Erfahrungen machen.,Me too. I want to get away and have new experiences.
Dude Ranch (1997),Dude Ranch (1997)
Würden Sie eine Revolution machen?,Would you start a revolution?
1.3. St Patrick Kreuz (Irland),1.3. St Patrick's Cross (Ireland)
